"Key","Source","Context","Example","zh-CN","zh-TW","fr","de","id","it","ja","ko","pt-PT","ru","es-ES"
"RGB_ColorType","RGB","","","","","RVB","","","","","RGB","","RGB",""
"CMYK_ColorType","CMYK","","","","","CMYK","","","","","CMYK","","CMYK",""
"HSB_ColorType","HSB","","","","","HSB","","","","","HSB","","HSB",""
"HSL_ColorType","HSL","","","","","HSL","","","","","HSL","","HSL",""
"HWB_ColorType","HWB","","","","","HWB","","","","","HWB","","HWB",""
"Lab_ColorType","Lab","","","","","Lab","","","","","","","Lab",""
"Luv_ColorType","Luv","","","","","Luv","","","","","","","Luv",""
"LChab_ColorType","LCh(ab)","","","","","LCh(ab)","","","","","","","LCh(ab)",""
"LChuv_ColorType","LCh(uv)","","","","","LCh(uv)","","","","","","","LCh(uv)",""
"xyY_ColorType","xyY","","","","","xyY","","","","","xyY","","xyY",""
"XYZ_ColorType","XYZ","","","","","XYZ","","","","","XYZ","","XYZ",""
"Hue_Component","Hue","","","","","Nuance","","","","","","","Оттенок",""
"HPLuv_ColorType","HPLuv","","","","","","","","","","","","",""
"HSLuv_ColorType","HSLuv","","","","","","","","","","","","",""
"Oklab_ColorType","Oklab","","","","","","","","","","","","",""
"Saturation_Component","Saturation","","","","","Saturation","","","","","채도","","Насыщенность",""
"HSB_Brightness_Component","Brightness","","","","","Luminosité","","","","","밝기","","Яркость",""
"HSL_Lightness_Component","Lightness","","","","","Lumière","","","","","명도","","Освещенность",""
"RGB_Red_Component","Red","","","","","Rouge","","","","","빨강","","Красный",""
"RGB_Green_Component","Green","","","","","Vert","","","","","초록","","Зелёный",""
"RGB_Blue_Component","Blue","","","","","Bleu","","","","","파랑","","Синий",""
"CMYK_Cyan_Component","Cyan","","","","","Cyan","","","","","청록","","Бирюзовый",""
"CMYK_Magenta_Component","Magenta","","","","","Magenta","","","","","자홍색","","Пурпурный",""
"CMYK_Yellow_Component","Yellow","","","","","Jaune","","","","","노랑색","","Жёлтый",""
"CMYK_Key_Component","Key","","","","","Clé","","","","","카","","Ключ",""
"OK_ButtonText","OK","","","","","Ok","","","","","확인","","ОК",""
"Cancel_ButtonText","Cancel","","","","","Annuler","","","","","취소","","Отмена",""
"Clear_ButtonText","Clear","","","","","Effacer","","","","","","","Очистить",""
"Searchbar_Prompt","Search","","","","","Rechercher","","","","","검색","","Поиск",""
"ColorEditor_DefaultWindowTitle","Select a color","","","","","Choisir une couleur","","","","","색상 선택","","Выберите цвет",""
"GradientEditor_DefaultWindowTitle","Create a gradient","","","","","Créer un dégradé","","","","","","","Создать градиент",""
"GradientPalette_WindowTitle","Gradients","","","","","Dégradés","","","","","","","Градиенты",""
"GradientInfo_WindowTitle","Gradient Info","","","","","Info de dégradé","","","","","","","Информация о градиенте",""
"ColorProperties_WindowTitle","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","Свойства цвета",""
"Settings_WindowTitle","Settings","","","","","Paramètres","","","","","설정","","Параметры",""
"ColorEditor_ToolbarButtonText","Color Editor","","","","","Éditeur de couleurs","","","","","색상 편집","","Редактор цвета",""
"GradientEditor_ToolbarButtonText","Gradient Editor","","","","","Éditeur de dégradé","","","","","그라데이션 편집","","Редактор градиента",""
"ColorProperties_ToolbarButtonText","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","Свойства цвета",""
"Settings_ToolbarButtonText","Settings","","","","","Paramètres","","","","","설정","","Параметры",""
"ColorEditor_ToolbarButtonHintText","Open the Color Editor","","","","","Ouvrir l'éditeur de couleurs","","","","","색상 편집 열기","","Открыть редактор цвета",""
"GradientEditor_ToolbarButtonHintText","Open the Gradient Editor","","","","","Ouvrir l'éditeur de dégradé","","","","","그라데이션 편집 열기","","Открыть редактор градиента",""
"ColorProperties_ToolbarButtonHintText","Open Color Properties","","","","","Ouvrir les propriétés de couleur","","","","","색상 속성 변경","","Открыть свойства цвета",""
"Settings_ToolbarButtonHintText","Open Settings","","","","","Ouvrir les paramètres","","","","","설정 열기","","Открыть параметры",""
"AutoLoadColorPropertiesFailure_Message","Color Properties could not be automatically loaded. Please make sure that you have allowed HTTP requests for setup.rbxcdn.com and try again.","","","","","Les propriétés de couleur n'ont pas pu être chargées automatiquement. Veuillez vous assurer que vous avez autorisé les requêtes HTTP pour setup.rbxcdn.com et réessayez.","","","","","","","Не удалось автоматически загрузить параметры цвета. Пожалуйста, убедитесь, что разрешены HTTP запросы для setup.rbxcdn.com и повторите попытку.",""
"Temperature_Label","Temperature","","","","","Température","","","","","색 온도","","Температура",""
"Web_BuiltInPaletteName","Web Colors","BuiltInPalettes","","","","","","","","","","","Веб цвета",""
"Sequential_CBDataClass","Sequential","ColorBrewerPalettes","","","","","","","","","","","",""
"Diverging_CBDataClass","Diverging","ColorBrewerPalettes","","","","","","","","","","","",""
"Qualitative_CBDataClass","Qualitative","ColorBrewerPalettes","","","","","","","","","","","",""
"DataClass_SelectorText","Data Type","ColorBrewerPalettes","","","","","","","","","","","Тип данных",""
"NumDataClass_SelectorText","Number of Data Classes","ColorBrewerPalettes","","","","","","","","","","","Число классов данных",""
"NoMatchingSchemes_Message","There are no schemes that satisfy this criteria","ColorBrewerPalettes","","","","","","","","","","","Отсутствуют схемы, удовлетворяющие этим критериям",""
"Hex_ColorLabel","Hex","ColorInformation","","","","","","","","","Hex","","Hex",""
"Web_ColorLabel","Web","ColorInformation","","","","","","","","","","","Web",""
"NoAPIAlert_MainText","The Roblox API data has not been loaded. Please use the Load button to load the data.","ColorProperties","","","","","","","","","Roblox API 데이터가 불러와지지 않았습니다. 불러오기 버튼을 클릭하여 데이터를 불러오세요.","","Данные API Roblox не были загружены. Пожалуйста, используйте кнопку ""Загрузить"" для загрузки данных.",""
"NoAPIAlert_SecondaryText_NotEditMode","Note: To use Color Properties during testing, you must have already loaded the data with the ""Cache Roblox API data"" option enabled before testing.","ColorProperties","","","","","","","","","","","Примечание: Для использования свойств цвета во время тестирования вы должны загрузить данные с опцией ""Cache Roblox API data"" включенной перед тестированием.",""
"NoAPIAlert_SecondaryText_EditMode","This screen will change once the data has been loaded.","ColorProperties","","","","","","","","","","","Этот экран будет изменен после загрузки данных.",""
"Load_ButtonText","Load","ColorProperties","","","","","","","","","불러오기","","Загрузить",""
"Loading_Message","Loading...","ColorProperties","","","","","","","","","불러오는 중...","","Пожалуйста, подождите...",""
"NoSelectionColorProperties_Message","The selected object(s) do not have any color properties","ColorPropertiesList","","","","Les objets sélectionnés n'ont pas de propriétés de couleur","","","","","","","Выбранный объект(ы) не имеют никаких цветовых свойств",""
"SelectionColorMultipleValues_Indicator","(Multiple)","ColorPropertiesList","","","","","","","","","(배수)","","(Множество)",""
"CompareTo_Label","Compare to","ColorSorter","","","","","","","","","","","Сравнить с",""
"EmptySortAnchor_Indicator","(None)","ColorSorter","","","","","","","","","","","(Нет)",""
"Sort_ButtonText","Sort","ColorSorter","","","","","","","","","","","Сортировка",""
"ColorInformation_Page","Color Information","ColorToolPages","","","","","","","","","색상 정보","","Информация о цвете",""
"ColorSorter_Page","Color Sorter","ColorToolPages","","","","","","","","","","","Сортирование цвета",""
"ColorVariations_Page","Color Variations","ColorToolPages","","","","","","","","","","","Вариации цвета",""
"GradientPickers_Page","Gradient Pickers","ColorToolPages","","","","","","","","","","","Выбор градиента",""
"Hues_Label","Hues","ColorVariations","","","","","","","","","","","Оттенки",""
"Shades_Label","Shades","ColorVariations","","","","","","","","","","","Тени",""
"Tints_Label","Tints","ColorVariations","","","","","","","","","","","Тон",""
"Tones_Label","Tones","ColorVariations","","","","","","","","","","","Тона",""
"ColorSteps_Label","Color Steps","ColorVariations","","","","","","","","","","","Шаги цвета",""
"ExportScriptInjection_Warning","Make sure that you have allowed script injection in order to export ModuleScripts.","ExportPalette","","","","","","","","","","","Убедитесь, что вы разрешили инъекцию скриптов для экспорта ModuleScripts.",""
"Export_ButtonText","Export","ExportPalette","","","","","","","","","내보내기","","Экспорт",""
"ExportDestination_Message","The palette will be exported to ServerStorage as:
{1}.palette","ExportPalette","","","","","","","","","","","Палитра будет экспортирована в ServerStorage как:
{1}.palette",""
"ModuleScriptExportFailure_Message","The ModuleScript palette export for {1} failed, most likely because script injection was denied.","ExportPalette","","","","","","","","","","","Экспорт палитры ModuleScript для {1} не удался, скорее всего из-за отказа в инъекции скрипта.",""
"ModuleScriptExport_Label","ColorPane Palette Export","ExportPalette","","","","","","","","","ColorPane 팔레트 내보내기","","",""
"SnapInput_Label","Snap","GradientEditor","","","","","","","","","","","Привязка",""
"KeypointReadout_Label","{1:int}/{2:int} Keypoints","GradientEditor","","","","","","","","","","","{1:int}/{2:int} Ключевых точек",""
"Reset_ButtonText","Reset","GradientEditor","","","","","","","","","재설정","","Сбросить",""
"ColorSpace_Label","Color Space","GradientInfo","","","","","","","","","색 영역","","Цветовая гамма",""
"HueInterpolation_Label","Hue Interpolation","GradientInfo","","","","","","","","","","","Интерполяция оттенка",""
"Precision_Label","Precision","GradientInfo","","","","","","","","","","","",""
"MaxKeypoints_ButtonText","Max","GradientInfo","","","","","","","","","","","Макс",""
"Shorter_HueInterpolation","Shorter","GradientInfo","","","","","","","","","","","Кратчайш",""
"Longer_HueInterpolation","Longer","GradientInfo","","","","","","","","","","","Длиннейш",""
"Increasing_HueInterpolation","Increasing","GradientInfo","","","","","","","","","","","",""
"Decreasing_HueInterpolation","Decreasing","GradientInfo","","","","","","","","","","","",""
"Specified_HueInterpolation","Specified","GradientInfo","","","","","","","","","","","",""
"BlackToWhite_BuiltInGradientName","Black to White","GradientPalette","","","","","","","","","","","",""
"Hue_BuiltInGradientName","Hue","GradientPalette","","","","","","","","","","","Оттенок",""
"DefaultGradientName","New Gradient","GradientPalette","","","","Nouveau dégradé","","","","","","","Новый градиент",""
"GreyscaleSlider_Brightness_Label","Brightness","GreyscaleSliderPage","","","","Luminosité","","","","","밝기","","Яркость",""
"JSONFile_ImportType","JSON file","ImportPalette","","","","Fichier JSON","","","","","JSON 파일","","JSON файл",""
"URL_ImportType","URL","ImportPalette","","","","URL","","","","","URL","","Адрес URL",""
"SelectObject_Prompt","Select a {1} from the Explorer","ImportPalette","","","","Sélectionnez un {1} dans l'explorateur","","","","","","","Выберите {1} из Explorer",""
"WaitingForImport_Message","Waiting for import…","ImportPalette","","","","Veuillez patienter pendant l'importation...","","","","","","","Ожидание импорта…",""
"URL_InputText","Type or paste a URL here","ImportPalette","","","","Saisir ou coller une adresse URL ici","","","","","","","Введите или вставьте URL сюда",""
"RetrieveURL_ButtonText","Retrieve URL","ImportPalette","","","","Récupérer l'URL","","","","","","","Получить URL-адрес",""
"UseSelection_ButtonText","Use selection","ImportPalette","","","","Utiliser la sélection","","","","","","","Использовать выделение",""
"SelectAFile_ButtonText","Select a file","ImportPalette","","","","Sélectionner un fichier","","","","","파일 선택","","Выберите файл",""
"ValidImport_Message","The {1} contains a valid palette","ImportPalette","","","","Le {1} contient une palette valide","","","","","","","{1} содержит допустимую палитру",""
"InvalidSelection_Message","The selected object is not a {1}","ImportPalette","","","","","","","","","","","Выделенный объект не является {1}",""
"Import_ButtonText","Import","ImportPalette","","","","","","","","","가져오기","","Импорт",""
"EmptySelection_Message","At least one object should be selected","ImportPalette","","","","","","","","","","","Должен быть выбран хотя бы один объект",""
"MultipleSelections_Message","Only one object should be selected","ImportPalette","","","","","","","","","","","Необходимо выбрать только один объект",""
"NonConformantPalette_Message","Palette format check failed: {1}","ImportPalette","","","","","","","","","","","Не удалось проверить формат палитры: {1}",""
"NamePalette_Prompt","Name the Palette","NamePalette","","","","","","","","","팔레트 이름","","Название палитры",""
"PaletteRename_Message","The palette will be renamed to: {1}","NamePalette","","","","","","","","","","","Палитра будет переименована в: {1}",""
"RenamePalette_Prompt","Rename {1}","NamePalette","","","","","","","","","{1} 이름 변경","","Переименовать {1}",""
"PaletteNameOK_Message","The palette name is OK","NamePalette","","","","","","","","","팔레트 이름이 적절합니다","","Название палитры в порядке",""
"DefaultPaletteName","New Palette","NamePalette","","","","","","","","","새로운 팔레트","","Новая палитра",""
"SelectAColor_Prompt","Select a color","PaletteColorGrid","","","","","","","","","색상 선택","","Выбрать цвет",""
"SetColor_ButtonText","Set Color","PaletteColorGrid","","","","","","","","","","","Задать цвет",""
"BuiltInPalette_Category","Built-In Palettes","PalettePages","","","","","","","","","","","Встроенные палитры",""
"UserPalette_Category","User Palettes","PalettePages","","","","","","","","","","","Пользовательские палитры",""
"CreatePalette_ButtonText","Create a New Palette","PalettePages","","","","","","","","","새 팔레트 생성","","Создать новую палитру",""
"ImportPalette_ButtonText","Import a Palette","PalettePages","","","","","","","","","팔레트 가져오기","","Импрортировать палитру",""
"ExportPalette_ButtonText","Export this Palette","PalettePages","","","","","","","","","팔레트 내보내기","","Экспортировать палитру",""
"DuplicatePalette_ButtonText","Duplicate this Palette","PalettePages","","","","","","","","","이 팔레트 복","","Дублировать палитру",""
"RenamePalette_ButtonText","Rename this Palette","PalettePages","","","","","","","","","팔레트 이름 변경","","Переименовать палитру",""
"DeletePalette_ButtonText","Delete this Palette","PalettePages","","","","","","","","","팔레트 삭제","","Удалить палитру",""
"SearchHistory_Label","History","PicularPalette","","","","","","","","","기록","","История",""
"ColorList_Label","Colors","PicularPalette","","","","","","","","","","","Цвета",""
"PicularPaletteFetchFailure_Message","There was a problem fetching the palette:
{1}","PicularPalette","","","","","","","","","","","Возникла проблема при получении палитры:
{1}",""
"DeletePalette_Prompt","Are you sure you want to delete {1}?","RemovePalette","","","","","","","","","","","Вы уверены, что хотите удалить {1}?",""
"DeletePalette_Confirm_ButtonText","Confirm","RemovePalette","","","","","","","","","확인","","Подтвердить",""
"AutoLoadColorProperties_SettingDescription","Automatically load the Roblox API data for Color Properties on startup","Settings","","","","","","","","","","","Автозагрузка данных API Roblox для свойств цвета при запуске",""
"CacheAPIData_SettingDescription","Cache Roblox API data for use during testing sessions","Settings","","","","","","","","","","","Кэшировать данные API Roblox для использования во время тестирования",""
"AskNameBeforePaletteCreation_SettingDescription","Name palettes before creating them","Settings","","","","","","","","","팔레트를 생성하기 전 이름을 지정하세요","","Название палитры перед их созданием",""
"Monochrome_Slider","Monochrome","SliderPages","","","","","","","","","흑백","","Монохромный",""
"Presets_Label","Presets","TemperatureSliderPage","","","","","","","","","프리셋","","Пресеты",""
"MatchFlame_Preset","Match Flame","TemperatureSliderPage","","","","","","","","","","","Пламя спички",""
"Candlelight_Preset","Candlelight","TemperatureSliderPage","","","","","","","","","","","Свет свечи",""
"Incandescent_Preset","Incandescent","TemperatureSliderPage","","","","","","","","","","","Лампы",""
"SoftWhiteIncandescent_Preset","Soft White Incandescent","TemperatureSliderPage","","","","","","","","","","","",""
"SoftWhite_Preset","Soft White","TemperatureSliderPage","","","","","","","","","","","Мягкий белый",""
"WarmWhite_Preset","Warm White","TemperatureSliderPage","","","","","","","","","","","Тёплый белый",""
"HorizonDaylight_Preset","Horizon Daylight","TemperatureSliderPage","","","","","","","","","","","Горизонт дневного света",""
"Daylight_Preset","Daylight","TemperatureSliderPage","","","","","","","","","밤낮","","Дневной свет",""
"ClearSky_Preset","Clear Sky","TemperatureSliderPage","","","","","","","","","맑은 하늘","","Чистое небо",""
